n4,n4_descripcion
10,"Administracion agricultura, ganadería y pesca"
11,Administracion ambiente
12,Administracion arte y cultura
13,Administracion asuntos del exterior
14,Administracion educacion
15,Administracion energia
16,Administracion equipamiento urbano y vivienda
17,Administracion fiscal
18,Administracion fomento a la produccion
19,Administracion informacion
20,Administracion justicia
21,Administracion legislativa
22,Administracion mineria e hidrocarburo
23,Administracion planificacion y regulacion
24,Administracion proteccion social y familiar
25,Administracion salud
26,Administración seguridad
27,Administracion telecomunicaciones
28,Administracion vialidad y transporte
29,"Agricultura, agroindustria y alimentos"
30,Agua potable
31,Alcantarillado
32,Arte y cultura
33,Asistencia judicial
34,Atencion a victimas
35,Atencion adolescentes jovenes
36,Atencion adultos mayores
37,Atencion discapacitados
38,Atención primera infancia
39,Becas
40,Cadena forestal sustentable y sus productos elaborados
41,Comercio
42,Comunicaciones
43,Confecciones y calzado
44,Conservación y manejo ambiental
45,Deporte recreativo
46,Desarrollo de tecnología (hardware y software)
47,Desarrollo rural
48,Desechos solidos
49,Distribución y conexión final usuarios
50,Educacion basica y media
51,Educacion diferencial y especial
52,Educacion media tecnico
53,Educacion para adultos
54,Educacion prebasica
55,Educacion superior
56,Energías renovables
57,Equidad de genero
58,Financiamiento
59,Ganadería
60,Generación
61,Generacion de informacion
62,Inclusion social
63,"Intersubsectorial agricultura, ganaderia y pesca"
64,Intersubsectorial ambiente
65,Intersubsectorial cultura
66,Intersubsectorial defensa
67,Intersubsectorial deporte
68,Intersubsectorial educación
69,Intersubsectorial energia
70,Intersubsectorial equipamiento urbano y vivienda
71,Intersubsectorial justicia
72,Intersubsectorial protección social y familiar
73,Intersubsectorial salud
74,Intersubsectorial seguridad
75,Intersubsectorial vialidad y transporte
76,Mineria
77,Otras industrias
78,Otro equipamiento urbano
79,Pesca
80,"Prevención, mitigación y gestion del riesgo"
81,Primer nivel de atencion
82,Proyecto investigacion
83,Reasentamientos humanos
84,Recuperacion de cultivo
85,Rehabilitacion
86,Riego
87,Segundo nivel de atencion
88,Seguridad
89,Tercer nivel de atencion
90,"Transporte maritimo, fluvial y lacustre"
91,Transporte terrestre
92,Turismo
93,Vivienda
