n5	n5_descripcion
144	Secretaria Tecnica De Prevencion Integral De Drogas
145	Secretaria Tecnica Del Comite Interinstitucional Para La Erradicacion De La Pobreza
146	Secretaria Tecnica Del Comite Nacional De Limites Internos
147	Secretaria Tecnica Del Mar
148	Secretaria Tecnica Del Plan Toda Una Vida
149	Secretaria Tecnica Del Sistema Nacional De Cualificaciones Profesionales
150	Secretaria Tecnica Del Sistema Nacional De Cualificaciones Y Capacitacion Profesional
151	Secretaria Tecnica Ecuador Crece Sin Desnutricion Infantil
152	Secretaria Tecnica Para La Gestion Inclusiva En Discapacidades
153	Servicio De Acreditacion Ecuatoriano
154	Servicio De Contratacion De Obras  Secob
155	Servicio De Gestion Inmobiliaria Del Sector Publico Inmobiliar
156	Servicio De Rentas Internas Sri
157	Servicio Ecuatoriano De Capacitacion Profesional Secap
158	Servicio Ecuatoriano De Normalizacion
159	Servicio Integrado De Seguridad Ecu
160	Servicio Nacional De Aduana Del Ecuador Senae
161	Servicio Nacional De Atencion Integral A Personas Adultas Privadas De La Libertad Y A Adolescentes Infractores
162	Servicio Nacional De Contratacion Publica  Sercop
163	Servicio Nacional De Derechos Intelectuales
164	Servicio Nacional De Gestion De Riesgos Y Emergencias
165	Servicio Nacional De Medicina Legal Y Ciencias Forenses
166	Servicio Publico Para Pago De Accidentes De Transito
167	Superintendencia De Bancos
168	Superintendencia De Companias Valores Y Seguros
169	Superintendencia De Control Del Poder De Mercado
170	Superintendencia De Economia Popular Y Solidaria
171	Superintendencia De La Informacion Y Comunicacion
172	Tribunal Contencioso Electoral
173	Unidad De Analisis Financiero Y Economico Uafe
174	Unidad Del Registro Social
175	Universidad  Estatal  De Cuenca
176	Universidad Agraria Del Ecuador
177	Universidad Central Del Ecuador
178	Universidad De Cuenca
179	Universidad De Guayaquil
180	Universidad De Investigacion De Tecnologia Experimental Yachay
181	Universidad De Las Artes
182	Universidad De Las Fuerzas Armadas Espe
183	Universidad Estatal Amazonica
184	Universidad Estatal De Bolivar
185	Universidad Estatal De Milagro
186	Universidad Estatal Del Sur De Manabi
187	Universidad Estatal Peninsula De Santa Elena
188	Universidad Intercultural De Las Nacionalidades Y Pueblos Indigenas Amawtay Wasi
189	Universidad Laica Eloy Alfaro De Manabi
190	Universidad Nacional De Chimborazo
191	Universidad Nacional De Educacion Unae
192	Universidad Nacional De Loja
193	Universidad Politecnica Estatal Del Carchi
194	Universidad Regional Amazonica Ikiam
195	Universidad Tecnica De Ambato
196	Universidad Tecnica De Babahoyo
197	Universidad Tecnica De Cotopaxi
198	Universidad Tecnica De Machala
199	Universidad Tecnica De Manabi
200	Universidad Tecnica De Quevedo
201	Universidad Tecnica Del Norte
202	Universidad Tecnica Luis Vargas Torres De Esmeraldas
203	Vicepresidencia De La Republica
