n4	n4_descripcion
10	Anticipos de ejercicios anteriores
11	Asistencia tecnica y donacionales
12	Colocaciones externas
13	Colocaciones internas
14	Prestamos externos
15	Prestamos internos
16	Recursos fiscales
17	Recursos fiscales generados por instituciones
18	Recursos provenientes de la Ley Organica de Solidaridad
19	Recursos provenientes de preasignaciones
