n1	n2	n3	n4	n5	anio	codificado	devengado	count
10	10	11	12	23	2019	33674320.96	12366053.89	3
10	10	11	14	23	2019	5491665	0	2
10	10	11	14	23	2021	393382.5	340282.5	1
10	10	11	16	23	2017	34091602.06	3715611.21	1
10	10	11	16	23	2018	53844056.05	5375695.73	2
10	10	11	16	23	2019	828322.26	40.66	2
19	83	10	16	24	2018	331400052	5482287.82	2
19	83	10	16	24	2019	2766919.42	1855148	2
19	83	10	17	24	2020	0	0	1
10	10	11	10	24	2019	3880695.07	2349681.36	1
10	10	11	12	24	2019	10856450.85	5629188.03	1
10	10	11	14	24	2019	86700	57800	1
10	10	11	14	24	2020	26320267.34	222227.94	2
10	10	11	14	24	2021	111113.97	0	1
10	10	11	16	24	2017	44987.5	44987.5	1
10	10	11	16	24	2018	0	0	1
10	10	11	13	25	2019	105905	105905	1
10	10	11	14	25	2020	2891581.9	2313265.52	1
10	10	11	14	25	2021	578316.38	0	1
10	10	11	16	25	2017	0	0	1
10	10	11	16	25	2019	0	0	1
14	42	10	16	26	2018	2020455	1427357.5	1
14	42	10	16	26	2019	260454.29	65495.12	1
18	79	10	16	26	2021	0	0	1
10	10	11	12	26	2019	10901451.93	2700749.91	1
10	10	11	13	26	2019	347215	347215	1
10	10	11	14	26	2019	156202.5	52067.5	1
10	10	11	14	26	2020	86140	86140	1
10	10	11	14	26	2021	278037.5	162250	1
10	10	11	16	26	2017	1657414.25	1579208.75	1
10	10	11	16	26	2020	0	0	1
10	10	11	19	26	2021	5921479.04	831186.62	1
10	10	11	16	27	2017	343675	343675	1
10	10	11	14	28	2019	159300	106200	1
10	10	11	14	29	2020	49560	24780	1
10	10	11	14	29	2021	24780	0	1
19	84	10	16	30	2017	0	0	1
19	84	10	16	30	2018	467500	420750	1
10	10	11	13	30	2019	53100	53100	1
12	20	10	16	31	2017	2487560.48	1356006.4	2
12	20	10	16	31	2018	8965075.26	34069.46	2
13	31	10	14	31	2019	121887122	21919370.4	2
13	31	10	14	31	2020	118498264	12613458.58	5
13	31	10	14	31	2021	74152322.72	196991.78	4
13	31	10	16	31	2017	15809016.96	5151203.97	6
13	31	10	16	31	2018	344985196.5	4504756.35	4
13	31	10	16	31	2019	14459356.71	4261681.71	3
14	42	10	14	31	2020	22809467.54	7371.7	2
14	42	10	14	31	2021	10606689.1	21530	1
21	105	10	14	31	2020	2758957.52	0	1
10	10	11	10	31	2017	2985462.08	2051091.48	2
10	10	11	10	31	2018	3148748.02	2289998.56	1
10	10	11	10	31	2019	1315440	1023120	1
10	10	11	10	31	2020	9897559.7	5197506.88	1
10	10	11	10	31	2021	989755.97	0	1
10	10	11	14	31	2020	44250	44250	1
10	10	11	14	31	2021	167855	123605	1
10	10	11	16	31	2017	378782.83	378782.83	1
10	10	11	16	31	2018	630585	560520	1
14	42	10	19	32	2018	0	0	1
10	10	11	14	32	2020	0	0	1
10	10	11	14	32	2021	392535.92	392535.76	1
10	10	11	19	32	2021	0	0	1
14	41	10	16	33	2017	0	0	1
10	10	11	16	33	2017	1933211.29	814297.12	1
12	20	10	16	34	2017	0	0	2
12	20	10	16	34	2020	94239.8	0	2
12	20	10	16	34	2021	565438.8	0	2
14	43	10	16	34	2017	0	0	1
14	43	10	16	34	2020	47119.9	0	1
14	43	10	16	34	2021	282719.4	0	1
18	79	10	16	34	2018	200000	150000	1
24	133	10	16	34	2017	0	0	1
24	133	10	16	34	2019	17678259.16	1673252.49	1
24	133	10	16	34	2020	156782016	25182595.58	1
24	133	10	16	34	2021	157474503	21376563.01	1
26	154	10	16	34	2017	0	0	1
26	154	10	16	34	2019	17678259.16	1673252.49	1
26	154	10	16	34	2020	156782016	25182595.58	1
26	154	10	16	34	2021	157474503	21376563.01	1
26	154	10	19	34	2019	0	0	1
27	171	10	16	34	2018	306176877.2	24023729.98	2
27	171	10	16	34	2019	10073111.5	3319895.62	2
10	10	11	10	34	2019	11836411.56	5284345.28	1
10	10	11	10	34	2020	16414243.41	2535452.33	1
10	10	11	10	34	2021	6136519.93	1852817.21	1
10	10	11	11	34	2020	499946	0	1
10	10	11	11	34	2021	2999676	223755	1
10	10	11	12	34	2019	83717044.96	21423634.79	1
10	10	11	12	34	2020	0	0	1
10	10	11	14	34	2019	45946172.16	14646753.79	2
10	10	11	16	34	2020	0	0	1
10	10	11	19	34	2018	0	0	1
14	39	10	14	35	2019	7162788	0	1
14	39	10	14	35	2020	6196476.79	289084.06	1
14	42	10	14	35	2020	42878037.92	25129535.8	3
14	39	10	14	35	2021	7174947.17	2195946.95	1
14	42	10	14	35	2021	18217353.92	0	2
26	154	10	12	35	2019	35127339.74	20765583.5	2
26	154	10	14	35	2019	75320837.01	20715516.26	7
26	158	10	14	35	2020	3471245	3271550	4
26	154	10	14	35	2020	107900306.1	13211630.99	10
26	158	10	14	35	2021	38363110	16966245	4
26	154	10	14	35	2021	108216377.8	33091972.98	10
26	154	10	16	35	2017	1703788754	638800142.4	23
26	154	10	16	35	2018	905466704.4	206897458.1	18
26	154	10	16	35	2019	23488782.21	3259100.41	15
10	10	11	10	35	2017	247884137.7	96412522	6
10	10	11	10	35	2018	64828576.63	39870271.54	4
10	10	11	10	35	2019	10341588.95	5318531.19	3
10	10	11	10	35	2020	37570688.2	591046.42	3
10	10	11	10	35	2021	42663278.5	3631486.64	4
10	10	11	11	35	2020	0	0	1
10	10	11	11	35	2021	1730563.78	128531.78	1
10	10	11	12	35	2019	100805528.9	5235649.95	4
10	10	11	16	35	2020	0	0	1
11	13	10	16	36	2017	114311.34	0	2
15	50	10	16	36	2017	114311.34	0	2
27	173	10	16	36	2017	927942.74	439288.33	1
10	10	11	14	36	2019	89827.5	59885	1
10	10	11	16	37	2017	0	0	1
14	42	10	16	38	2017	0	0	1
10	10	11	14	39	2019	146467.5	97645	1
11	15	10	10	40	2019	192084.65	0	1
10	10	11	13	40	2019	269482.5	269482.5	1
10	10	11	13	40	2021	0	0	1
10	10	11	14	40	2019	174787.5	58262.5	1
10	10	11	14	40	2020	1888800.92	1385332.19	1
10	10	11	14	40	2021	772657.73	300457.5	1
10	10	11	16	40	2020	0	0	1
15	50	10	16	41	2017	163548	0	1
15	50	10	16	41	2018	617140	421378	1
15	50	10	16	41	2019	0	0	1
10	10	11	11	41	2017	117838.8	4489.67	1
10	10	11	14	41	2019	97645	48822.5	1
10	10	11	14	41	2021	29205	29205	1
10	10	11	16	42	2018	38645	38645	1
10	10	11	11	43	2017	0	0	1
10	10	11	13	43	2019	99267.5	99267.5	1
10	10	11	14	43	2019	34515	34515	1
10	10	11	14	43	2020	46020	46020	1
10	10	11	14	43	2021	93102	47082	1
10	10	11	16	43	2017	3890753.6	3422199.19	3
10	10	11	14	44	2021	11505	11505	1
14	39	10	10	45	2017	24349320.24	7334776.7	1
14	39	10	10	45	2018	3244745.68	118967.05	1
14	39	10	10	45	2019	1760098.3	0	1
14	39	10	10	45	2020	1936108.13	0	1
14	39	10	10	45	2021	1936108.13	0	1
14	39	10	14	45	2019	1753009.5	0	1
14	39	10	14	45	2020	4280398.14	0	1
14	39	10	16	45	2017	348384056.4	102161255.8	3
14	39	10	16	45	2018	21764418.87	1022423.7	3
14	39	10	16	45	2019	167791.5	0	3
26	154	10	14	45	2019	163202782.1	26183586.98	2
26	154	10	14	45	2020	71703435.16	14761474.4	2
26	154	10	14	45	2021	12213591.82	1154998.84	2
26	154	10	16	45	2017	611369457.9	30163430.91	4
26	154	10	16	45	2018	179726804.2	9386107.56	3
26	154	10	16	45	2019	33212442.96	4881045.6	3
26	154	10	17	45	2020	21284765.6	0	2
26	154	10	17	45	2021	249986055.4	5750395.48	2
10	10	11	10	45	2017	8518968.36	4305280	1
10	10	11	10	45	2018	2554995.96	1933836.42	1
10	10	11	10	45	2020	2398975.92	1613769.35	1
10	10	11	10	45	2021	342786.42	99758.16	1
10	10	11	12	45	2019	7577622.71	955415.51	1
10	10	11	13	45	2019	3967750	3967750	1
10	10	11	13	45	2021	91745	91745	1
10	10	11	14	45	2019	541325	525837.5	1
10	10	11	14	45	2020	12035226.28	10914363.4	2
10	10	11	14	45	2021	112806007.6	81921362.32	2
10	10	11	16	45	2018	51182.5	51182.5	1
11	11	10	16	46	2017	0	0	1
18	79	10	16	46	2017	2191897.26	983757.13	1
21	105	10	16	46	2017	0	0	1
10	10	11	10	46	2017	155803.41	155803.41	1
10	10	11	14	47	2019	192000	144000	1
10	10	11	16	47	2017	0	0	1
10	10	11	16	47	2018	1263360	360106.9	1
10	10	11	16	47	2019	23040	17280	1
14	42	10	16	48	2017	0	0	1
10	10	11	14	48	2020	2335080.9	2264871.14	1
10	10	11	14	48	2021	1226101.95	0	1
15	50	10	14	49	2019	2544402.93	0	1
15	50	10	14	49	2020	1129134.72	208663.08	1
15	50	10	14	49	2021	1009825.86	0	1
21	105	10	11	49	2018	176000	0	4
21	105	10	11	49	2019	1000000	35893.08	4
21	105	10	11	49	2020	352789	98978.12	4
21	105	10	11	49	2021	588523.92	30210.08	4
27	170	10	14	49	2019	5088805.86	0	2
27	170	10	14	49	2020	2258269.44	417326.16	2
27	170	10	14	49	2021	2019651.72	0	2
27	170	10	16	49	2018	7077462.76	599346.72	1
10	10	11	10	49	2020	637581.67	347771.82	1
10	10	11	10	49	2021	57961.97	0	1
10	10	11	13	49	2021	0	0	1
10	10	11	14	49	2019	50740	50740	1
10	10	11	14	49	2020	0	0	1
10	10	11	14	49	2021	416392.5	369782.5	1
13	26	10	16	50	2018	4616161.54	0	1
14	39	10	14	50	2019	2356251.43	0	1
14	39	10	14	50	2020	5325571.73	161128.11	2
14	39	10	16	50	2018	13437584	0	2
14	39	10	16	50	2019	261805.72	0	2
14	39	10	16	50	2020	0	0	2
14	39	10	14	50	2021	3785903.6	1854979.38	1
21	105	10	16	50	2017	0	0	1
26	154	10	14	50	2020	2512106.64	23672.32	2
26	154	10	16	50	2018	7899729.08	5779.2	2
26	154	10	16	50	2019	179436.16	179436.16	2
26	154	10	14	50	2021	2288461.48	916491.6	2
10	10	11	10	50	2020	92075.28	89515.62	1
10	10	11	12	50	2019	853400.5	747650.8	1
10	10	11	10	50	2021	1611569.28	1170551.04	2
10	10	11	12	51	2021	4602640359	0	1
10	10	11	13	51	2021	16942785882	6498239434	1
10	10	11	14	51	2021	8470771422	4276210261	1
12	20	10	14	52	2020	46174856.48	0	2
12	20	10	14	52	2021	27680380.4	0	2
12	20	10	16	52	2017	627451.68	0	2
12	20	10	16	52	2018	103216767.1	201576.66	2
12	20	10	16	52	2019	1438899.44	268382.44	2
14	39	10	14	52	2019	20008761.08	3099543.5	2
14	39	10	14	52	2020	20565912.46	19549932.46	2
14	39	10	14	52	2021	8182849.23	1602069.5	1
14	39	10	16	52	2017	5173827	5016295	1
14	39	10	16	52	2018	9335880.59	9181518.58	1
14	39	10	16	52	2019	1673826.83	4003.6	1
17	70	10	16	52	2019	321432.57	0	1
26	154	10	16	52	2017	0	0	1
27	171	10	14	52	2019	5386944.46	0	2
27	171	10	14	52	2020	5295320.2	977600	3
27	171	10	14	52	2021	293280	0	2
27	171	10	16	52	2019	261140.85	0	1
10	10	11	10	52	2019	2858700.56	559543.47	1
10	10	11	10	52	2020	2537283.06	682267.66	2
10	10	11	10	52	2021	1083820.81	295640.64	2
10	10	11	12	52	2019	2931428.56	0	1
10	10	11	13	52	2019	2024585	2024585	1
10	10	11	13	52	2021	0	0	1
10	10	11	14	52	2019	7753595.86	558716.35	2
10	10	11	14	52	2020	3846651.9	146651.9	1
10	10	11	14	52	2021	1319825.05	295640.64	1
10	10	11	16	52	2019	527657.16	0	1
10	10	11	16	52	2020	0	0	1
11	15	10	14	53	2019	1047057.34	23465.06	1
11	15	10	14	53	2020	1033532.88	0	1
11	15	10	14	53	2021	7850709.31	16549.25	1
11	15	10	16	53	2017	492384780.8	123808126.7	11
11	15	10	16	53	2018	362223679	96088521.54	11
11	15	10	16	53	2019	11485655.34	1093067.42	5
11	15	10	17	53	2020	0	0	1
21	105	10	16	53	2017	160392717.4	40629342.67	3
21	105	10	16	53	2018	119370208.7	32029507.18	3
21	105	10	16	53	2019	3546947.7	353842.94	1
26	154	10	14	53	2019	118259614.4	19889219.22	1
26	154	10	14	53	2020	141484449.8	29835552.14	2
26	154	10	14	53	2021	186492498.1	90200815.14	2
26	154	10	16	53	2017	160798117.4	40712542.67	4
26	154	10	16	53	2018	119370208.7	32029507.18	3
26	154	10	16	53	2019	3546947.7	353842.94	1
10	10	11	10	53	2017	7265271.82	4062468.31	3
10	10	11	10	53	2018	8688127.46	2335657.29	2
10	10	11	10	53	2019	3183492.4	369491.06	2
10	10	11	10	53	2020	819711.5	255721.1	2
10	10	11	10	53	2021	33127194.93	32585000	2
10	10	11	11	53	2021	0	0	1
10	10	11	14	53	2020	0	0	1
10	10	11	16	53	2020	0	0	1
12	20	10	16	54	2017	3412281.39	1394496.51	2
12	20	10	16	54	2018	31337370.08	361901.48	1
21	105	10	16	54	2017	678972.66	474326.92	2
