n1	n1_descripcion
10	N/A
11	Fin a la pobreza
12	Hambre cero
13	Salud y bienestar
14	Educacion de calidad
15	Igualdad de genero
16	Agua limpia y saneamiento
17	Energia asequible y no contaminante
18	Trabajo decente y crecimiento economico
19	"Industria, innovacion e infraestructura"
20	Reduccion de las desigualdades
21	Ciudades y comunidades sostenibles
22	Proteccion y consumo responsable
23	Accion por el clima
24	Vida submarina
25	Vida de ecosistemas terrestres
26	"Paz, justicia e instituciones solidas"
27	Alianzas para lograr los objetivos
